,SMILES,title,i_i_glide_lignum,r_i_docking_score
8685,N[C@@H](C[NH3+])[C@H](N)N1C[C@@H]([NH2+][C@H]([O-])[C@H](O)C[NH3+])C2(CC2)C1,enumerated_decorated_cores.csv:3657,8695,-5.43992
34495,[NH3+]CC(C[NH3+])N1C[C@@H]([NH2+]Cc2cc(=O)[n-]o2)C2(CC2)C1,enumerated_decorated_cores.csv:14465,34528,-5.40532
58562,[NH3+]CC[C@H]([NH3+])N[C@H]1CN(/C=C/n2ccnn2)CC12CC2,enumerated_decorated_cores.csv:24582,58616,-5.37275
21532,C[C@H]([NH3+])CC[N@@H+]1C[C@@H](NNc2ccno2)C2(CC2)C1,enumerated_decorated_cores.csv:9049,21553,-5.31325
35448,Cc1cnn(CN[C@H]2CCN(CC(N)=[NH2+])C2)c1,enumerated_decorated_cores.csv:14871,35483,-5.86197
44662,C=C(F)[C@H]([O-])[N@H+]1CC[C@@H](N[C@H]2C[NH2+]C[NH2+]2)C1,enumerated_decorated_cores.csv:18742,44705,-5.81814
21308,C[C@H](O)[C@H]([NH3+])N[C@H]1CC[N@@H+](C[C@H]2C[C@H]2C(N)=[NH2+])C1,enumerated_decorated_cores.csv:8954,21329,-5.80977
47509,O=C1NCCC=C1[N-][C@H]1CC[N@H+]([C@@H](F)[C@H](O)CO)C1,enumerated_decorated_cores.csv:19937,47554,-5.79598
36841,CC(C)(S)N1CC[C@@H](/N=C2\C=C[N+]([O-])=N2)C1,enumerated_decorated_cores.csv:15451,36878,-5.78846
49044,N#Cc1ncc(N2CC[C@@H]([NH2+][C@H]3CC=C[C@@H](O)C3)C2)[n-]1,enumerated_decorated_cores.csv:20602,49091,-5.74981
49890,CN(C1CC1)N1CC[C@@H](/N=C2\C=C[N+]([O-])=N2)C1,enumerated_decorated_cores.csv:20947,49938,-5.67199
2667,O=C1CCNC=C1N1CC[C@@H](NO[C@H](CO)CF)C1,enumerated_decorated_cores.csv:1118,2669,-5.67054
35830,N#C[C@H]1C[C@@H](O)[C@H]1N[C@H]1CCN(c2ccc[n+]([O-])n2)C1,enumerated_decorated_cores.csv:15035,35865,-5.63005
42168,O=C([O-])C[NH2+][C@H]1Cc2ncccc2CN([C@H]2CC[N@@H+]3C[C@H]23)C1,enumerated_decorated_cores.csv:17704,42207,-5.55971
22572,C[C@H](ONC[C@H]1c2cc(F)cc(F)c2CCN1[C@@]1(C(N)=[NH2+])C[C@H]1C)C(N)=O,enumerated_decorated_cores.csv:9480,22594,-6.15882
22955,N/C(CN1CCc2c(F)cc(F)cc2[C@H]1C[NH2+]CC[C@H]1C[NH2+]1)=N/O,enumerated_decorated_cores.csv:9637,22977,-5.71742
37839,C[NH2+][C@H](CC[NH3+])N1CCc2c(F)cc(F)cc2[C@H]1C[NH2+][C@H](C)[S@@](N)=O,enumerated_decorated_cores.csv:15856,37876,-5.66284
42582,C[NH2+][C@H](CO)CN1CCc2c(F)cc(F)cc2[C@H]1C[NH2+]CCc1ncco1,enumerated_decorated_cores.csv:17880,42623,-5.64456
31277,[NH3+][C@H](CO)[C@@H](F)N1CCc2c(F)cc(F)cc2[C@H]1C[NH2+]C[C@H](O)C(=O)[O-],enumerated_decorated_cores.csv:13106,31308,-5.60643
5984,C[C@H](C#N)[C@H]([NH3+])NC[C@H]1c2cc(F)cc(F)c2CCN1c1ccn[n+]([O-])c1,enumerated_decorated_cores.csv:2522,5988,-5.52409
7267,N#CNC[NH2+]C[C@H]1c2cc(F)cc(F)c2CCN1c1cc(CO)[nH]n1,enumerated_decorated_cores.csv:3080,7271,-5.52042
31985,CC(=O)C[C@H](C#N)N1CCc2c(F)cc(F)cc2[C@H]1CNC[NH2+]CCC[NH3+],enumerated_decorated_cores.csv:13406,32016,-5.51971
20409,[NH3+]Cc1n[nH]cc1NC[C@H]1c2cc(F)cc(F)c2CCN1C1[NH2+]CC[NH2+]1,enumerated_decorated_cores.csv:8582,20429,-5.49288
48481,CO/N=C(\C)C[NH2+]C[C@H]1c2cc(F)cc(F)c2CCN1NC(=O)[C@H](C)[NH3+],enumerated_decorated_cores.csv:20356,48528,-5.48625
51086,C[C@H]1NC(=O)[C@H]1N1CCc2ccccc2[C@H]1C/N=C1\C=C[N+]([O-])=N1,enumerated_decorated_cores.csv:21437,51134,-5.82082
34812,O[C@H]1C[NH2+][C@@H](NC[C@H]2c3ccccc3CCN2[C@H]2CCC[NH2+]2)C1,enumerated_decorated_cores.csv:14612,34846,-5.78782
52837,Cc1ncc(C[NH2+]C[C@H]2c3ccccc3CCN2C2([NH3+])CCC2)o1,enumerated_decorated_cores.csv:22172,52888,-5.64531
20103,CC[C@@](O)(C[NH3+])NC[C@H]1c2ccccc2CCN1[C@H](CC[NH3+])[NH2+]C,enumerated_decorated_cores.csv:8448,20123,-5.64127
49403,NC(=[NH2+])[C@H]1C[C@H]1C[NH2+]C[C@H]1c2ccccc2CCN1[C@H](O)n1cccn1,enumerated_decorated_cores.csv:20748,49451,-5.59306
53526,CC(C)CC(=O)NC[C@H]1c2ccccc2CCN1C(C[NH3+])C[NH3+],enumerated_decorated_cores.csv:22456,53579,-5.58522
48730,C#Cc1cc(N2CCc3ccccc3[C@H]2CNC(C)(C)[NH2+]C)n[nH]1,enumerated_decorated_cores.csv:20468,48777,-5.58114
55860,C[C@H](C#N)CN[NH2+]N1CCc2ccccc2[C@H]1C[NH2+][C@H](C)C(=O)[O-],enumerated_decorated_cores.csv:23438,55913,-5.50658
39329,C[C@@]1(CCN2CCc3ccccc3[C@H]2C[NH2+][C@H]2C=CC[C@H]2C[NH3+])CC[NH2+]1,enumerated_decorated_cores.csv:16482,39367,-5.43257
15734,C[C@H](C[NH3+])[C@H]([O-])[NH2+]C[C@H]1c2ccccc2CCN1c1ccc(CO)o1,enumerated_decorated_cores.csv:6627,15752,-5.4312
38194,[NH3+]C[C@H]1C[C@H]1[N@H+]1Cc2cccnc2C[C@@H](NO[C@H]2C[C@@H](O)C2)C1,enumerated_decorated_cores.csv:16010,38231,-6.36599
49321,C=C(F)C[C@H]([O-])[N@H+]1Cc2cccnc2C[C@@H](N[C@H]2[NH2+][C@H]2CC)C1,enumerated_decorated_cores.csv:20712,49368,-5.97507
36872,NC(C[NH3+])(C[NH3+])N[C@H]1Cc2ncccc2C[N@H+](C[C@H](O)CF)C1,enumerated_decorated_cores.csv:15463,36909,-5.967
26944,CC[C@H]1O[C@H]1N[C@H]1Cc2ncccc2C[N@H+](C[C@H](C)CN[NH3+])C1,enumerated_decorated_cores.csv:11292,26970,-5.91846
36185,CCC(=O)[C@H](C)N1Cc2cccnc2C[C@@H](N[C@@](C)([NH3+])C(N)=O)C1,enumerated_decorated_cores.csv:15185,36221,-5.82713
28791,CC(=O)N[C@H]1Cc2ncccc2CN([C@H]2CC[NH2+]2)C1,enumerated_decorated_cores.csv:12067,28818,-5.71777
46475,[NH3+]CC[C@H]1C[C@@H]([NH2+][C@H]2Cc3ncccc3CN(N3CC[NH2+]CC3)C2)C1,enumerated_decorated_cores.csv:19505,46520,-5.67689
2411,C[S@@](=N)(=O)C[NH2+][C@H]1Cc2ncccc2C/[N+](=C2\CNC(=O)N2)C1,enumerated_decorated_cores.csv:1008,2413,-5.66354
