,SMILES,title,i_i_glide_lignum,r_i_docking_score
18233,C(=C/c1ccnc(N2C[C@@H]([NH2+]C[C@@]34C[C@@H]3CO4)C3(CC3)C2)c1)\c1cn[nH]c1,7541_generated_biased,18244,-5.27123
14825,[C-]#[N+][C@H]1C[C@@H]([N@H+]2CC[C@@H](N[NH2+][O-])C2)C1,6159_generated_biased,14835,-6.39972
23236,C=[N+]([O-])c1cc[n+]([O-])cc1N1CC[C@@H]([NH2+]Cc2ccccn2)C1,9662_generated_biased,23251,-6.20677
4029,Oc1ccccc1N[C@H]1CCN(c2ccc(N=C=S)nn2)C1,1664_generated_biased,4034,-6.12541
12314,O=[N+]([O-])c1c[n+]([O-])ccc1N[C@H]1CCN(c2ncncc2CO)C1,5080_generated_biased,12322,-6.10113
11800,CCC(=O)[C@H](C)N1CC[C@@H](Nc2c[n+]([O-])ccc2[N+](=O)[O-])C1,4865_generated_biased,11808,-5.86986
9828,CC(=O)CCON1CC[C@@H](Nc2c[n+]([O-])ccc2[N+](=O)[O-])C1,4052_generated_biased,9835,-5.8361
1524,O=C(CO)OCN[C@H]1CCN(c2c[n+]([O-])ccc2[N+]([O-])=S)C1,617_generated_biased,1526,-5.77117
18953,N#Cc1ccc(O)c(NN2CC[C@@H](NNC(N)=O)C2)c1,7855_generated_biased,18965,-5.65935
21871,N#CCCCNN[C@H]1CCN(c2c[n+]([O-])ccc2C#N)C1,9105_generated_biased,21886,-5.60299
14523,CC(C)(C[NH3+])N(O)[NH2+][C@H]1CCN([C@H]2CNC(=O)C2)C1,6033_generated_biased,14532,-5.6023
12683,[NH3+]C[C@H]1OC[C@H]1N1CCc2c(F)cc(F)cc2[C@H]1CN/N=C/c1ccc(O)[nH]1,5231_generated_biased,12691,-6.13157
7067,CC(=O)NCC[NH2+]C[C@H]1c2cc(F)cc(F)c2CCN1NC(=O)C#N,2924_generated_biased,7072,-6.03737
11822,[NH3+]C[C@H]1CCC[C@H]1[N@@H+]1CCc2c(F)cc(F)cc2[C@H]1CNc1ccnc(F)n1,4877_generated_biased,11830,-5.70012
6399,C[C@H](CC[NH3+])[N@@H+]1CCc2c(F)cc(F)cc2[C@H]1CNc1cn(C)cn1,2652_generated_biased,6404,-5.52351
